cellI,x,y,z,S,epsilon,k,nut
61044,1.4964986,0.09,0.0007,1.9607854e-06,7.46643737,0.06316930828,4.468956793e-06
61045,1.49789916,0.09,0.0007,1.960784e-06,7.466191801,0.06316810839,4.468905684e-06
61046,1.49929972,0.09,0.0007,1.960784e-06,7.465959882,0.06316697518,4.468857412e-06
61047,1.00070028,0,0.0007,1.960784e-06,1.950186874,0.02887927051,2.733788295e-06
61048,1.00210084,0,0.0007,1.960784e-06,3.467598998,0.04071189939,3.489840565e-06
61049,1.0035014,0,0.0007,1.9607854e-06,5.237205697,0.05173757014,4.045577923e-06
61050,1.004901961,0,0.0007,1.960784e-06,7.194646277,0.0621709383,4.52162503e-06
61051,1.006302521,0,0.0007,1.960784e-06,9.347725673,0.07229342992,4.948773811e-06
61052,1.007703081,0,0.0007,1.960784e-06,11.67792521,0.08214817833,5.33860769e-06
61053,1.009103641,0,0.0007,1.9607854e-06,14.14882358,0.09168684783,5.695846118e-06
61054,1.010504202,0,0.0007,1.960784e-06,16.71291613,0.1008300317,6.0225922e-06
61055,1.011904762,0,0.0007,1.960784e-06,19.31939756,0.1095018974,6.320231597e-06
61056,1.013305322,0,0.0007,1.960784e-06,21.92279773,0.1176536356,6.590423566e-06
61057,1.014705882,0,0.0007,1.960784e-06,24.49383305,0.1252863128,6.835859679e-06
61058,1.016106442,0,0.0007,1.9607854e-06,27.03785644,0.1324901134,7.06142257e-06
61059,1.017507003,0,0.0007,1.960784e-06,29.6354876,0.1395353345,7.276780779e-06
61060,1.018907563,0,0.0007,1.960784e-06,31.88312229,0.1454078576,7.452621135e-06
61061,1.020308123,0,0.0007,1.960784e-06,33.64091578,0.1498702327,7.584141005e-06
61062,1.021708683,0,0.0007,1.9607854e-06,34.91136329,0.1530295135,7.676210137e-06
61063,1.023109244,0,0.0007,1.960784e-06,35.71675004,0.1550051617,7.733359338e-06
61064,1.024509804,0,0.0007,1.960784e-06,36.09513729,0.1559263274,7.759895971e-06
61065,1.025910364,0,0.0007,1.960784e-06,36.09542055,0.1559270153,7.759915923e-06
61066,1.027310924,0,0.0007,1.960784e-06,35.76497003,0.1551227981,7.736752495e-06
61067,1.028711485,0,0.0007,1.9607854e-06,35.14389749,0.1536020485,7.692805818e-06
61068,1.030112045,0,0.0007,1.960784e-06,34.28303177,0.1514736923,7.630976726e-06
61069,1.031512605,0,0.0007,1.960784e-06,33.23363496,0.1488459479,7.554108326e-06
61070,1.032913165,0,0.0007,1.960784e-06,32.04394232,0.1458207023,7.464864625e-06
61071,1.034313726,0,0.0007,1.9607854e-06,30.80670889,0.1426197916,7.36954095e-06
61072,1.035714286,0,0.0007,1.960784e-06,29.59615794,0.1394308059,7.273623234e-06
61073,1.037114846,0,0.0007,1.960784e-06,28.40430966,0.1362326621,7.176445016e-06
61074,1.038515406,0,0.0007,1.960784e-06,27.31312454,0.1332508134,7.084919355e-06
61075,1.039915966,0,0.0007,1.960784e-06,26.28583658,0.1303938397,6.996365172e-06
61076,1.041316526,0,0.0007,1.9607854e-06,25.44864141,0.1280279496,6.922373924e-06
61077,1.042717087,0,0.0007,1.960784e-06,24.715316,0.125926519,6.856138469e-06
61078,1.044117647,0,0.0007,1.960784e-06,24.03637096,0.1239556681,6.793567127e-06
61079,1.045518207,0,0.0007,1.960784e-06,23.37717664,0.1220179648,6.731611373e-06
61080,1.046918768,0,0.0007,1.9607854e-06,22.74224493,0.1201281476,6.670759465e-06
61081,1.048319328,0,0.0007,1.960784e-06,22.14617584,0.1183322475,6.612531377e-06
61082,1.049719888,0,0.0007,1.960784e-06,21.58212414,0.1166126649,6.556403597e-06
61083,1.051120448,0,0.0007,1.960784e-06,21.03746819,0.1149329211,6.501214763e-06
