cellI,x,y,z,S,Ux,Uy,Uz
53205,0.4803024453,0.09,0.00065,1.68983269e-06,0,0,0
53206,0.4816023167,0.09,0.00065,1.68983269e-06,0,0,0
53207,0.482902188,0.09,0.00065,1.68983269e-06,0,0,0
53208,0.4842020592,0.09,0.00065,1.68983269e-06,0,0,0
53209,0.4855019306,0.09,0.00065,1.68983269e-06,0,0,0
53210,0.4868018018,0.09,0.00065,1.68983269e-06,0,0,0
53211,0.4881016732,0.09,0.00065,1.68983269e-06,0,0,0
53212,0.4894015445,0.09,0.00065,1.68983269e-06,0,0,0
53213,0.4907014157,0.09,0.00065,1.68983269e-06,0,0,0
53214,0.4920012871,0.09,0.00065,1.68983269e-06,0,0,0
53215,0.4933011583,0.09,0.00065,1.68983269e-06,0,0,0
53216,0.4946010296,0.09,0.00065,1.68983269e-06,0,0,0
53217,0.4959009009,0.09,0.00065,1.68983269e-06,0,0,0
53218,0.4972007723,0.09,0.00065,1.68983269e-06,0,0,0
53219,0.4985006436,0.09,0.00065,1.68983269e-06,0,0,0
53220,0.4998005148,0.09,0.00065,1.68983269e-06,0,0,0
53221,0.5011003862,0.09,0.00065,1.68983269e-06,0,0,0
53222,0.5024002574,0.09,0.00065,1.68983269e-06,0,0,0
53223,0.5037001287,0.09,0.00065,1.68983269e-06,0,0,0
53224,0.505,0.09,0.00065,1.68983256e-06,0,0,0
53225,0.5062998713,0.09,0.00065,1.68983269e-06,0,0,0
53226,0.5075997426,0.09,0.00065,1.68983269e-06,0,0,0
53227,0.5088996138,0.09,0.00065,1.68983269e-06,0,0,0
53228,0.5101994851,0.09,0.00065,1.68983269e-06,0,0,0
53229,0.5114993564,0.09,0.00065,1.68983269e-06,0,0,0
53230,0.5127992278,0.09,0.00065,1.68983269e-06,0,0,0
53231,0.5140990991,0.09,0.00065,1.68983269e-06,0,0,0
53232,0.5153989703,0.09,0.00065,1.68983269e-06,0,0,0
53233,0.5166988417,0.09,0.00065,1.68983269e-06,0,0,0
53234,0.5179987129,0.09,0.00065,1.68983269e-06,0,0,0
53235,0.5192985842,0.09,0.00065,1.68983269e-06,0,0,0
53236,0.5205984556,0.09,0.00065,1.68983269e-06,0,0,0
53237,0.5218983268,0.09,0.00065,1.68983269e-06,0,0,0
53238,0.5231981982,0.09,0.00065,1.68983269e-06,0,0,0
53239,0.5244980694,0.09,0.00065,1.68983269e-06,0,0,0
53240,0.5257979407,0.09,0.00065,1.68983269e-06,0,0,0
53241,0.527097812,0.09,0.00065,1.68983269e-06,0,0,0
53242,0.5283976833,0.09,0.00065,1.68983269e-06,0,0,0
53243,0.5296975547,0.09,0.00065,1.68983269e-06,0,0,0
53244,0.5309974259,0.09,0.00065,1.68983269e-06,0,0,0
