cellI,inCellI,cellCenter,surfNorm,surfNormIn,bodyOut,bodyIn,yOrtho,sigma,order,intPoints,intCells
5496,4719,(0.07474259974 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07474259974 0.01 0.00065) (0.07474259974 0.01155827869 0.00065) (0.07474259974 0.01285483606 0.00065)),2(6273 7050)
5497,4720,(0.07604247104 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07604247104 0.01 0.00065) (0.07604247104 0.01155827869 0.00065) (0.07604247104 0.01285483606 0.00065)),2(6274 7051)
5498,4721,(0.07734234234 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07734234234 0.01 0.00065) (0.07734234234 0.01155827869 0.00065) (0.07734234234 0.01285483607 0.00065)),2(6275 7052)
5499,4722,(0.07864221364 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07864221364 0.01 0.00065) (0.07864221364 0.01155827869 0.00065) (0.07864221364 0.01285483606 0.00065)),2(6276 7053)
5500,4723,(0.07994208494 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.07994208494 0.01 0.00065) (0.07994208494 0.01155827869 0.00065) (0.07994208494 0.01285483606 0.00065)),2(6277 7054)
5501,4724,(0.08124195624 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08124195624 0.01 0.00065) (0.08124195624 0.01155827869 0.00065) (0.08124195624 0.01285483606 0.00065)),2(6278 7055)
5502,4725,(0.08254182754 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08254182754 0.01 0.00065) (0.08254182754 0.01155827869 0.00065) (0.08254182754 0.01285483606 0.00065)),2(6279 7056)
5503,4726,(0.08384169884 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08384169884 0.01 0.00065) (0.08384169884 0.01155827869 0.00065) (0.08384169884 0.01285483606 0.00065)),2(6280 7057)
5504,4727,(0.08514157014 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08514157014 0.01 0.00065) (0.08514157014 0.01155827869 0.00065) (0.08514157014 0.01285483606 0.00065)),2(6281 7058)
5505,4728,(0.08644144144 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08644144144 0.01 0.00065) (0.08644144144 0.01155827869 0.00065) (0.08644144144 0.01285483606 0.00065)),2(6282 7059)
5506,4729,(0.08774131274 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08774131274 0.01 0.00065) (0.08774131274 0.01155827869 0.00065) (0.08774131274 0.01285483606 0.00065)),2(6283 7060)
5507,4730,(0.08904118404 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.08904118404 0.01 0.00065) (0.08904118404 0.01155827869 0.00065) (0.08904118404 0.01285483606 0.00065)),2(6284 7061)
5508,4731,(0.09034105534 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09034105534 0.01 0.00065) (0.09034105534 0.01155827869 0.00065) (0.09034105534 0.01285483607 0.00065)),2(6285 7062)
5509,4732,(0.09164092664 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09164092664 0.01 0.00065) (0.09164092664 0.01155827869 0.00065) (0.09164092664 0.01285483607 0.00065)),2(6286 7063)
5510,4733,(0.09294079794 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09294079794 0.01 0.00065) (0.09294079794 0.01155827869 0.00065) (0.09294079794 0.01285483606 0.00065)),2(6287 7064)
5511,4734,(0.09424066924 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09424066924 0.01 0.00065) (0.09424066924 0.01155827869 0.00065) (0.09424066924 0.01285483606 0.00065)),2(6288 7065)
5512,4735,(0.09554054054 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09554054054 0.01 0.00065) (0.09554054054 0.01155827869 0.00065) (0.09554054054 0.01285483606 0.00065)),2(6289 7066)
5513,4736,(0.09684041184 0.010228125 0.00065),(0 1 0),(0 0 0),0.4150482977,1,0.0004464759897,0.0002281250001,2,3((0.09684041184 0.01 0.00065) (0.09684041184 0.01155827869 0.00065) (0.09684041184 0.01285483607 0.00065)),2(6290 7067)
